x;y
123;124
125;124
127;124
128;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;124
130;120
130;116
130;106
130;102
128;98
124;96
117;96
113;96
109;96
109;96
118;89
123;84
128;79
133;75
130;67
127;67
123;67
119;67
112;67
108;66
103;62
98;57
89;47
84;43
79;38
75;38
68;38
64;38
60;38
56;38
49;32
46;29
42;25
39;22
31;17
27;15
23;14
19;12
11;10
7;7
3;4
0;0
-7;-6
-10;-10
-14;-13
-23;-17
-28;-20
-32;-22
-35;-24
-35;-27
-35;-34
-35;-38
-35;-42
-39;-49
-43;-53
-46;-58
-49;-63
-52;-67
-58;-77
-61;-81
-65;-86
-68;-90
-74;-100
-79;-104
-82;-104
-86;-104
-94;-104
-97;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-98;-104
-100;-106
-101;-109
-103;-111
-106;-116
-108;-119
-109;-122
-109;-127
-109;-129
-109;-130
-109;-130
-109;-130
-109;-130
