x;y
-107;-130
-102;-130
-98;-130
-93;-130
-84;-130
-80;-130
-80;-130
-80;-129
-80;-126
-80;-124
-80;-121
-71;-116
-66;-114
-63;-114
-59;-114
-55;-114
-48;-114
-41;-114
-41;-114
-37;-114
-33;-114
-33;-114
-33;-114
-33;-111
-33;-108
-30;-106
-26;-104
-21;-102
-14;-101
-10;-101
-3;-101
-3;-101
3;-101
7;-101
11;-101
14;-101
22;-101
29;-101
33;-101
33;-101
40;-101
43;-101
51;-101
51;-101
58;-101
62;-101
69;-101
73;-101
76;-101
80;-101
87;-101
91;-101
94;-101
98;-101
102;-101
105;-101
112;-101
116;-101
123;-101
126;-101
128;-101
130;-101
132;-100
136;-97
137;-95
137;-94
137;-92
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-91
137;-93
137;-95
137;-97
137;-99
137;-101
137;-103
