x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-117
120;-112
120;-110
120;-107
120;-105
120;-98
120;-94
120;-90
120;-87
120;-79
120;-76
120;-72
120;-65
120;-61
120;-57
120;-54
120;-50
120;-43
120;-39
120;-35
120;-32
120;-24
120;-21
120;-17
120;-13
120;-6
120;-3
120;0
120;4
120;11
120;15
120;18
120;22
120;29
120;33
120;37
120;42
120;52
120;56
120;61
120;66
120;71
120;74
120;76
120;79
120;84
120;87
120;91
120;94
120;100
120;102
120;102
120;102
120;102
120;102
120;102
120;102
120;102
120;102
120;102
120;103
120;107
120;109
120;111
120;113
120;115
120;115
120;115
120;115
120;115
120;115
120;115
120;115
120;115
120;115
120;115
