x;y
120;115
120;115
120;115
120;115
120;115
120;114
120;107
120;104
120;101
120;97
116;94
114;94
111;94
108;94
102;94
99;91
95;88
92;84
85;78
81;74
78;72
74;71
67;67
64;65
60;64
57;61
50;54
46;51
43;48
39;44
29;43
24;43
19;43
13;43
2;43
0;41
-2;38
-4;34
-7;27
-9;23
-12;20
-16;15
-25;6
-30;1
-34;-2
-39;-7
-43;-16
-45;-20
-48;-24
-50;-29
-55;-38
-58;-42
-62;-47
-68;-56
-71;-61
-77;-69
-80;-73
-83;-78
-87;-82
-90;-85
-93;-88
-96;-90
-102;-94
-105;-96
-108;-98
-113;-104
-113;-107
-113;-110
-113;-114
-113;-119
