x;y
116;-104
114;-104
111;-104
109;-102
104;-99
101;-97
99;-96
94;-91
91;-86
89;-82
87;-78
82;-69
80;-64
78;-60
76;-55
73;-51
66;-44
63;-41
59;-38
53;-31
49;-27
45;-24
42;-20
35;-13
31;-9
27;-5
17;4
14;7
10;10
7;14
3;17
0;20
-6;26
-9;28
-16;33
-16;33
-23;38
-26;41
-32;47
-32;47
-39;53
-42;57
-49;57
-49;57
-57;57
-61;57
-64;57
-73;64
-78;69
-81;73
-88;82
-88;82
-95;86
-98;86
-102;86
-106;86
-113;87
-116;92
-122;101
-122;101
-125;110
-127;115
-129;115
-131;115
-132;115
-132;115
-132;115
-132;115
-132;115
-132;115
