x;y
-133;-130
-133;-130
-125;-130
-122;-130
-118;-130
-111;-130
-106;-130
-101;-130
-92;-130
-92;-130
-83;-130
-83;-130
-83;-130
-83;-128
-83;-126
-83;-125
-76;-121
-76;-121
-68;-120
-64;-120
-61;-120
-53;-120
-50;-120
-46;-120
-39;-120
-39;-120
-31;-120
-28;-120
-24;-120
-17;-120
-13;-120
-10;-120
-6;-120
0;-120
4;-120
7;-120
15;-120
18;-120
22;-120
26;-120
33;-120
33;-120
40;-120
44;-120
47;-120
51;-120
58;-120
62;-120
66;-120
73;-117
77;-115
81;-113
85;-112
89;-110
96;-110
99;-110
103;-110
110;-110
114;-110
118;-110
121;-110
129;-110
132;-110
136;-109
