time;x;y;fx;fy
63;120;-120;0;65
126;120;-120;0;0
189;120;-120;27;0
252;120;-120;27;0
315;120;-120;27;0
378;120;-120;27;0
441;120;-120;27;0
504;120;-120;76;0
567;120;-120;76;0
630;120;-120;76;0
693;120;-120;76;0
756;120;-120;76;0
819;120;-120;43;180
882;120;-117;43;180
945;120;-112;43;180
1008;120;-110;43;180
1071;120;-107;43;180
1134;120;-105;43;180
1197;120;-98;0;341
1260;120;-94;0;341
1323;120;-90;0;341
1386;120;-87;0;341
1449;120;-79;0;349
1512;120;-76;0;349
1575;120;-72;0;349
1638;120;-65;0;349
1701;120;-61;0;349
1764;120;-57;0;349
1827;120;-54;0;337
1890;120;-50;0;337
1953;120;-43;0;337
2016;120;-39;0;337
2079;120;-35;0;337
2142;120;-32;0;318
2205;120;-24;0;318
2268;120;-21;0;318
2331;120;-17;0;318
2394;120;-13;0;318
2457;120;-6;0;301
2520;120;-3;0;301
2583;120;0;0;301
2646;120;4;0;301
2709;120;11;0;314
2772;120;15;0;314
2835;120;18;0;314
2898;120;22;0;314
2961;120;29;0;314
3024;120;33;0;247
3087;120;37;0;247
3150;120;42;0;247
3213;120;52;0;247
3276;120;56;0;247
3339;120;61;0;247
3402;120;66;0;247
3465;120;71;0;164
3528;120;74;0;164
3591;120;76;0;164
3654;120;79;0;164
3717;120;84;0;232
3780;120;87;0;232
3843;120;91;0;232
3906;120;94;0;232
3969;120;100;0;232
4032;120;102;0;102
4095;120;102;0;102
4158;120;102;0;102
4221;120;102;0;102
4284;120;102;0;102
4347;120;102;0;102
4410;120;102;0;102
4473;120;102;0;102
4536;120;102;0;102
4599;120;102;0;102
4662;120;103;0;145
4725;120;107;0;145
4788;120;109;0;145
4851;120;111;0;145
4914;120;113;0;145
4977;120;115;0;49
5040;120;115;0;49
5103;120;115;0;49
5166;120;115;0;49
5229;120;115;0;67
5292;120;115;0;67
5355;120;115;0;67
5418;120;115;0;67
5481;120;115;0;67
5544;120;115;0;67
5607;120;115;0;0
5670;120;115;0;0
5733;120;115;0;0
5796;120;115;0;0
5859;120;115;0;0
5922;120;115;0;0
5985;120;115;0;0
6048;120;115;0;0
6111;120;115;0;0
6174;120;115;0;0
6237;120;115;0;0
6300;120;115;0;0
6363;120;115;-40;-89
6426;120;115;-40;-89
6489;120;115;-40;-89
6552;120;115;-40;-89
6615;120;115;-40;-89
6678;120;114;-91;-194
6741;120;107;-91;-194
6804;120;104;-91;-194
6867;120;101;-91;-194
6930;120;97;-91;-194
6993;116;94;-174;-97
7056;114;94;-174;-97
7119;111;94;-174;-97
7182;108;94;-174;-97
7245;102;94;-487;-197
7308;99;91;-487;-197
7371;95;88;-487;-197
7434;92;84;-487;-197
7497;85;78;-487;-197
7560;81;74;-487;-197
7623;78;72;-402;-125
7686;74;71;-402;-125
7749;67;67;-402;-125
7812;64;65;-402;-125
7875;60;64;-402;-125
7938;57;61;-344;-202
8001;50;54;-344;-202
8064;46;51;-344;-202
8127;43;48;-344;-202
8190;39;44;-344;-202
8253;29;43;-277;-105
8316;24;43;-277;-105
8379;19;43;-277;-105
8442;13;43;-277;-105
8505;2;43;-277;-105
8568;0;41;-140;-386
8631;-2;38;-140;-386
8694;-4;34;-140;-386
8757;-7;27;-140;-386
8820;-9;23;-140;-386
8883;-12;20;-271;-248
8946;-16;15;-271;-248
9009;-25;6;-271;-248
9072;-30;1;-271;-248
9135;-34;-2;-271;-248
9198;-39;-7;-169;-305
9261;-43;-16;-169;-305
9324;-45;-20;-169;-305
9387;-48;-24;-169;-305
9450;-50;-29;-169;-305
9513;-55;-38;-194;-268
9576;-58;-42;-194;-268
9639;-62;-47;-194;-268
9702;-68;-56;-194;-268
9765;-71;-61;-194;-268
9828;-77;-69;-202;-248
9891;-80;-73;-202;-248
9954;-83;-78;-202;-248
10017;-87;-82;-202;-248
10080;-90;-85;-202;-248
10143;-93;-88;-195;-147
10206;-96;-90;-195;-147
10269;-102;-94;-195;-147
10332;-105;-96;-195;-147
10395;-108;-98;-195;-147
10458;-113;-104;-88;-205
10521;-113;-107;-88;-205
10584;-113;-110;-88;-205
10647;-113;-114;-88;-205
10710;-113;-119;-88;0
10773;-113;-119;-80;0
10836;-113;-119;-80;0
10899;-113;-119;-80;27
10962;-113;-119;-80;27
11025;-113;-119;-80;27
11088;-113;-119;-44;27
11151;-113;-119;-44;27
11214;-113;-119;-44;0
11277;-113;-119;-44;0
11340;-113;-119;-44;0
11403;-113;-119;-63;0
11466;-113;-119;-63;0
11529;-113;-119;-63;0
11592;-113;-119;-63;0
11655;-113;-119;-63;0
11718;-113;-119;-41;0
11781;-113;-119;-41;0
11844;-113;-119;-41;0
11907;-113;-119;-41;0
11970;-113;-119;-41;0
12033;-113;-119;-37;0
12096;-113;-119;-37;0
12159;-113;-119;-37;0
12222;-113;-119;-37;0
12285;-113;-119;-37;0
12348;-113;-119;-37;0
12411;-113;-119;0;0
12474;-113;-119;0;0
12537;-113;-119;0;0
12600;-113;-119;0;0
12663;-113;-119;0;0
12726;-113;-119;90;0
12789;-113;-119;90;0
12852;-113;-119;90;0
12915;-113;-119;90;0
12978;-113;-119;90;0
13041;-108;-119;668;34
13104;-104;-119;668;34
13167;-101;-119;668;34
13230;-97;-119;668;34
13293;-90;-119;399;34
13356;-86;-119;399;108
13419;-83;-119;399;108
13482;-79;-119;399;108
13545;-72;-119;399;108
13608;-68;-119;145;108
13671;-66;-119;145;174
13734;-64;-116;145;174
13797;-60;-111;145;174
13860;-58;-109;145;174
13923;-55;-106;401;174
13986;-51;-104;401;0
14049;-44;-104;401;0
14112;-40;-104;401;0
14175;-36;-104;401;0
14238;-33;-104;401;0
14301;-27;-104;171;85
14364;-25;-104;171;85
14427;-22;-104;171;85
14490;-20;-104;171;85
14553;-17;-104;54;85
14616;-17;-104;54;107
14679;-17;-104;54;107
14742;-17;-104;54;107
14805;-17;-104;54;107
14868;-14;-104;254;107
14931;-10;-104;254;107
14994;-5;-104;254;0
15057;4;-104;254;0
15120;8;-104;254;0
15183;12;-104;145;0
15246;14;-104;145;0
15309;18;-104;145;65
15372;20;-104;145;65
15435;22;-104;145;65
15498;24;-104;259;65
15561;34;-104;259;65
15624;38;-104;259;0
15687;43;-104;259;0
15750;48;-104;259;0
15813;56;-104;224;0
15876;59;-104;224;0
15939;62;-104;224;35
16002;66;-104;224;35
16065;72;-104;186;35
16128;75;-104;186;35
16191;77;-104;186;35
16254;80;-104;186;35
16317;85;-104;186;0
16380;87;-104;186;0
16443;90;-104;170;0
16506;92;-104;170;0
16569;97;-104;170;0
16632;100;-104;170;0
16695;102;-104;170;0
16758;105;-104;103;0
16821;105;-104;103;0
16884;105;-104;103;0
16947;105;-104;103;0
17010;105;-104;103;0
17073;106;-104;143;0
17136;108;-104;143;0
17199;112;-104;143;0
17262;112;-104;143;0
17325;116;-104;143;0
17388;118;-104;36;0
17451;118;-104;36;0
17514;118;-104;36;0
17577;118;-104;36;0
17640;118;-104;36;0
17703;118;-104;0;0
17766;118;-104;0;0
17829;118;-104;0;0
17892;118;-104;0;0
17955;118;-104;0;0
18018;118;-104;0;0
18081;118;-104;0;0
18144;118;-104;0;0
18207;118;-104;0;0
18270;118;-104;0;0
18333;118;-104;0;0
18396;118;-104;0;0
18459;118;-104;0;0
18522;118;-104;0;0
18585;116;-104;-167;0
18648;114;-104;-167;0
